What is a fear of machinery ?,what,what is,WP,VBZ,VBZ,ENTY
Who awarded The Flying Fickle Finger of Fate ?,who,who awarded,WP,VBD,VBD,HUM
"In Sinclair Lewis ' `` Main Street , '' what was the name of the typical American town ?",what,what was,WP,VBD,VBD,LOC
What hide-and-seek game is played around a tin can ?,what,what hide,WDT,VB,VBN,ENTY
What is the largest city in Texas ?,what,what is,WP,VBZ,VBZ,LOC
"What future deer hunter portrayed Annie Hall 's neurotic brother , Duane ?",what,what future,WDT,JJ,VBD,HUM
What drink is the best thirst-quencher ?,what,what drink,WP,NN,VBZ,ENTY
Where can I get a map of Prussia on the Internet ?,where,where can,WRB,MD,VB,LOC
What was the longest war in U.S. history ?,what,what was,WP,VBD,VBD,ENTY
What is a `` node '' in computer terms ?,what,what is,WP,VBZ,VBZ,DESC
What are the five richest countries in the world ?,what,what are,WP,VBP,VBP,LOC
Where is McCarren Airport ?,where,where is,WRB,VBZ,VBZ,LOC
What are the top boy names in the U.S. ?,what,what are,WP,VBP,VBP,HUM
How many tiles did the Space Shuttle Columbia lose on its second flight ?,how,how many,WRB,JJ,VBD,NUM
How many teaspoons make up a tablespoon ?,how,how many,WRB,JJ,VBP,NUM
Who was the lyricist and who was the composer between Gilbert and Sullivan ?,who,who was who was,WP,VBD,VBD,HUM
Who was the lawyer for Randy Craft ?,who,who was,WP,VBD,VBD,HUM
What is the origin of the word Marijuana ?,what,what is,WP,VBZ,VBZ,DESC
Who was the 3rd president of the United States ?,who,who was,WP,VBD,VBD,HUM
What organ contains the islands of Langerhans ?,what,what organ,WDT,NN,VBZ,ENTY
Name Dick Tracy 's two children .,,,,,NNS,HUM
What is a fear of points ?,what,what is,WP,VBZ,VBZ,ENTY
What fraction of a beaver 's life is spent swimming ?,what,what fraction,WDT,NN,VBN,NUM
How can SQL queries be improved ?,how,how can,WRB,MD,VBN,DESC
What is the most radioactive food ?,what,what is,WP,VBZ,VBZ,ENTY
What was the previous name for the Commonwealth ?,what,what was,WP,VBD,VBD,HUM
How much will gas be taxed in California by the year 2000 ?,how,how much,WRB,JJ,VBN,NUM
Who gave King Arthur the round table ?,who,who gave,WP,VBD,VBD,HUM
What state in the United States covers the largest area ?,what,what state,WDT,NN,VBZ,LOC
How do you make a computer chip ?,how,how do,WRB,VBP,VB,DESC
Who became president of the U.S. in 1789 ?,who,who became,WP,VBD,VBD,HUM
Who wrote `` The Scarlet Letter '' ?,who,who wrote,WP,VBD,VBD,HUM
Who did Sara Jane Moore try to assassinate ?,who,who did,WP,VBD,VBP,HUM
What is Linux ?,what,what is,WP,VBZ,VBZ,DESC
How many dots make up the symbol for `` because '' ?,how,how many,WRB,JJ,VBP,NUM
What title did Shevardnadze have during the Soviet era ?,what,what title,WDT,NN,VBP,HUM
What did the pyramid-builders of Egypt mainly eat ?,what,what did,WP,VBD,VBP,ENTY
What 's the international radio code word for the letter F ?,what,what 's,WP,VBZ,VBZ,ENTY
What are the 28 tenses in the English language ?,what,what are,WP,VBP,VBP,ENTY
Which king signed the Magna Carta ?,which,which king,WDT,NN,VBD,HUM
What software offers inventors use of CAD-like design ?,what,what software,WDT,NN,VBZ,ENTY
What is agent orange ?,what,what is,WP,VBZ,VBZ,DESC
Name the child left on a doorstep at the beginning of Gasoline Alley .,,,,,VB,HUM
How many zip codes are there in the U.S. ?,how,how many,WRB,JJ,VBP,NUM
"In Beetle Bailey , can you name Sarge 's dog ?",,,,,VB,ENTY
Why shouldn 't you remove a bee stinger with tweezers ?,why,why shouldn,WRB,VB,VB,DESC
Which college did Dikembe Mutombo play basketball for ?,which,which college,WDT,NN,VB,HUM
Why did Europeans first come to Australia and Oceania ?,why,why did,WRB,VBD,VBN,DESC
What did the Confederate Constitution say about slavery ?,what,what did,WP,VBD,VBP,DESC
How long does it take the Milky Way Galaxy to make one revolution ?,how,how long,WRB,RB,VB,NUM
How many people own pets ?,how,how many,WRB,JJ,VBP,NUM
What web sites are linked to the Report on Genesis Eldercare ?,what,what web,WP,NN,VBN,LOC
What is a fear of lice ?,what,what is,WP,VBZ,VBZ,ENTY
How long does it take different materials to decompose ?,how,how long,WRB,RB,VB,NUM
How many colors are there in a rainbow ?,how,how many,WRB,JJ,VBP,NUM
What was Darth Vader 's son named ?,what,what was,WP,VBD,VBD,HUM
What problems contributed to the high failure rate of Plains farmers in the 1800s ?,what,what problems,WDT,NNS,VBD,DESC
What British female pop singing star of the 1960s and early 1970s was a child actress in the 1940s and '50s ?,what,what british,WDT,JJ,VBD,HUM
Where is McCarren Airport located ?,where,where is,WRB,VBZ,VBN,LOC
How effective are condoms in protecting against AIDS ?,how,how effective,WRB,JJ,VBP,DESC
"What part of Britain comprises the Highlands , Central Lowlands , and Southern Uplands ?",what,what part,WDT,NN,VBZ,LOC
How many Marx Brothers were there ?,how,how many,WRB,JJ,VBD,NUM
How tall is the Matterhorn ?,how,how tall,WRB,JJ,VBZ,NUM
What country is proud to claim Volcano National Park ?,what,what country,WDT,NN,VBZ,LOC
When was Babe Ruth born ?,when,when was,WRB,VBD,VBN,NUM
Who portrayed Field Marshal Erwin Rommel in The Desert Fox ?,who,who portrayed,WP,VBD,VBD,HUM
What TV quiz show left the air in 1975 to the tune of Vera Lynn 's We 'll Meet Again ?,what,what tv,WP,NN,VBD,ENTY
What direction do most baseball pitchers pitch toward ?,what,what direction,WDT,NN,VBP,LOC
How many Beanie Baby sites are there ?,how,how many,WRB,JJ,VBP,NUM
How can I call a friend in another country when I do not know the telephone number ?,when,how can when i,WRB,PRP,VB,DESC
What is 55 times sweeter than cane sugar ?,what,what is,WP,VBZ,VBZ,ENTY
Where are diamonds mined ?,where,where are,WRB,VBP,VBP,LOC
How do they get Teflon to stick to the pan ?,how,how do,WRB,VBP,VB,DESC
How much money did the Marcos steal from their country ?,how,how much,WRB,JJ,VBP,NUM
Who makes the `` cross-your-heart bra '' ?,who,who makes,WP,VBZ,VBZ,HUM
Who is Archie Bunker 's son-in-law ?,who,who is,WP,VBZ,VBZ,HUM
What company produces Spumante ?,what,what company,WDT,NN,VBZ,HUM
What is the origin of music ?,what,what is,WP,VBZ,VBZ,DESC
What does `` B.Y.O.B. '' mean ?,what,what does,WP,VBZ,NNP,ABBR
What major airline has the best safety record in the world ?,what,what major,WDT,JJ,VBZ,HUM
What President became Chief Justice after his presidency ?,what,what president,WP,NNP,VBD,HUM
How many innings constitute an official baseball game ?,how,how many,WRB,JJ,VBP,NUM
What city has a newspaper called The Plain Dealer ?,what,what city,WDT,NN,VBZ,LOC
What U.S. state boasts Leif Ericson Park ?,what,what u.s.,WP,NNP,VBZ,LOC
How many flavors does Baskin & Robbins offer ?,how,how many,WRB,JJ,NN,NUM
Who was chief engineer of the Starship Enterprise ?,who,who was,WP,VBD,VBD,HUM
How does crosstalk relate to InSb thickness in infrared detectors ?,how,how does,WRB,VBZ,VB,DESC
What mayor made so many TV appearances he was asked to join AFTRA in 1984 ?,what,what mayor,WDT,NN,VBD,HUM
Which type of submarine was bought recently by South Korea ?,which,which type,WDT,NN,VBN,ENTY
How much in miles is a ten K run ?,how,how much,WRB,JJ,VBZ,NUM
When was Beethoven born ?,when,when was,WRB,VBD,VBN,NUM
Who is the most sexy celebrity ?,who,who is,WP,VBZ,VBZ,HUM
What detective lives on Punchbowl Hill and has 11 children ?,what,what detective,WDT,NN,VBZ,HUM
Where did the ukulele originate ?,where,where did,WRB,VBD,RB,LOC
Rotary engines used to be made by whom ?,whom,whom ?,WP,.,VBN,HUM
What does seccession mean ?,what,what does,WP,VBZ,VB,DESC
Who portrayed the title character in the film The Day of the Jackal ?,who,who portrayed,WP,VBD,VBD,HUM
What is the name of the gulf between Sweden and Finland ?,what,what is,WP,VBZ,VBZ,LOC
Who was the first X-Man to die in battle ?,who,who was,WP,VBD,VBD,HUM
What will the weather be today ?,what,what will,WP,MD,VB,DESC
Who is the President of Ghana ?,who,who is,WP,VBZ,VBZ,HUM
Which sex is denied voting rights in Kuwait ?,which,which sex,WDT,NN,VBN,ENTY
What two countries is Andorra nestled between ?,what,what two,WP,CD,VBZ,LOC
How long ago was the Roe vs. Wade decision by the Supreme Court ?,how,how long,WRB,RB,VBD,NUM
What terrorist group was headed by Donald DeFreeze ?,what,what terrorist,WDT,JJ,VBN,HUM
What are the four largest mountain ranges in the continental United States ?,what,what are,WP,VBP,VBP,LOC
What is the size of the student body at the University of Massachusetts in Amherst ?,what,what is,WP,VBZ,VBZ,NUM
How can I determine the radius of an ellipse ?,how,how can,WRB,MD,VB,DESC
Who starred in the movie The War of the Worlds ?,who,who starred,WP,VBD,VBD,HUM
How many different kinds of ice cream are there ?,how,how many,WRB,JJ,VBP,NUM
"What actor , who had greatest fame on TV , became the father of triplets ?",who,what actor who had,WP,VBD,VBD,HUM
What is the Homelite Inc. home page ?,what,what is,WP,VBZ,VBZ,LOC
What is the Golden Rule ?,what,what is,WP,VBZ,VBZ,DESC
What is a movie that Kevin Costner made about Sioux Indians ?,that,what is that kevin,WDT,NNP,VBZ,ENTY
What were millions of kids wearing on their heads in 1955 ?,what,what were,WP,VBD,VBD,ENTY
How does color affect a person psychologically ?,how,how does,WRB,VBZ,VB,DESC
What is Columbia Tristar 's phone number ?,what,what is,WP,VBZ,VBZ,NUM
What type of animal is the easiest kept pet there is ?,what,what type,WDT,NN,VBZ,ENTY
What is sound ?,what,what is,WP,VBZ,VBZ,DESC
"What was the name of the horse that fell on Queen Elizabeth , Prince Albert 's wife ?",that,what was that fell,WDT,VBD,VBD,ENTY
What are the current immigration laws in US ?,what,what are,WP,VBP,VBP,DESC
What were the five opening words on Ben Casey ?,what,what were,WP,VBD,VBD,ENTY
Why does it say on children 's cough syrup not to drive while using this medication ?,why,why does,WRB,VBZ,VB,DESC
What hair color can I use to just cover a little gray ?,what,what hair,WDT,NN,VB,ENTY
Where was Tesla born ?,where,where was,WRB,VBD,VBN,LOC
What does Larry King do for a living ?,what,what does,WP,VBZ,VB,HUM
Who shot Lee Harvey Oswald ?,who,who shot,WP,VBD,VBD,HUM
When did Jaco Pastorius die ?,when,when did,WRB,VBD,VB,NUM
What blood sport features a movement called a veronica ?,what,what blood,WP,NN,VBZ,ENTY
What was spawned the term `` MiG Alley '' ?,what,what was,WP,VBD,VBN,ENTY
What 's the most common street name in America ?,what,what 's,WP,VBZ,VBZ,LOC
What is the difference between khaki and chino ?,what,what is,WP,VBZ,VBZ,DESC
What is the origin of infinity ?,what,what is,WP,VBZ,VBZ,DESC
What alloy do copper and tin form ?,what,what alloy,WDT,NN,NN,ENTY
What plants are found in an estuary ?,what,what plants,WDT,NNS,VBN,ENTY
What are the side effects of mevacor ?,what,what are,WP,VBP,VBP,DESC
What are the top 5 tallest buildings in the world ?,what,what are,WP,VBP,VBP,LOC
Colin Powell is best known for what achievement ?,what,what achievement,WP,NN,VBZ,DESC
What was the name of the computer in ` 2001 : A Space Odyssey ' ?,what,what was,WP,VBD,VBD,ENTY
Who portrayed Renaud in Casablanca ?,who,who portrayed,WP,VBD,VBD,HUM
What country has problems with hooligans ?,what,what country,WDT,NN,VBZ,LOC
What planet did Percival Lovell discover ?,what,what planet,WDT,NN,VBP,LOC
How often are brain cells replaced ?,how,how often,WRB,RB,VBN,NUM
How much did Mercury spend on advertising in 1993 ?,how,how much,WRB,JJ,VB,NUM
What kind of rocket launched the Surveyor spacecraft ?,what,what kind,WDT,NN,VBD,ENTY
What country contains the westernmost point in South America ?,what,what country,WP,NN,VBZ,LOC
What did Abolitionists try to end ?,what,what did,WP,VBD,VB,ENTY
What 's the American dollar equivalent for 8 pounds in the U.K. ?,what,what 's,WP,VBZ,VBZ,NUM
Why should cigarette smoking be banned ?,why,why should,WRB,MD,VBN,DESC
What year did Charles Dicken die ?,what,what year,WDT,NN,VB,NUM
What D.H. Lawrence novel was originally titled Tenderness ?,what,what d.h.,WP,NNP,VBN,ENTY
What rock group raised a ruckus at the White House by singing American Woman ?,what,what rock,WP,NN,VBD,HUM
What is a fear of night or darkness ?,what,what is,WP,VBZ,VBZ,ENTY
What is the origin of the rock band Led Zeppelin 's name ?,what,what is,WP,VBZ,VBZ,DESC
How was Lawrence,how,how was,WRB,VBD,VBD,DESC
How do I know if I am pregnant ?,how,how do,WRB,VBP,VB,DESC
When did the last Americans leave Vietnam ?,when,when did,WRB,VBD,VBP,NUM
What famed clown appeared on an early Howdy Doody Show and insisted that Clarabell be made up as a real clown ?,what,what famed,WDT,JJ,VBD,HUM
"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?",what,what group,WDT,NN,NN,HUM
Who was Confucius ?,who,who was,WP,VBD,VBD,HUM
What snack food has ridges ?,what,what snack,WDT,NN,VBZ,ENTY
What 's the most popular four-player game of all time ?,what,what 's,WP,VBZ,VBZ,ENTY
What 's the meaning of the name Tatiana ?,what,what 's,WP,VBZ,VBZ,DESC
How many people died when the Estonia sank in 1994 ?,when,how many when the,WRB,DT,VBD,NUM
What Southern California town is named after a character made famous by Edgar Rice Burroughs ?,what,what southern,WP,NNP,VBN,LOC
How many colors are there in a rainbow ?,how,how many,WRB,JJ,VBP,NUM
What is the habitat of the chickadee ?,what,what is,WP,VBZ,VBZ,LOC
What drug is often used to treat AIDS patients ?,what,what drug,WDT,NN,VBN,ENTY
Which of the five senses develops first ?,which,which of,WDT,IN,VBZ,ENTY
Where did the name root beer come from ?,where,where did,WRB,VBD,VBN,DESC
What city 's the kickoff point for climbs of Mount Everest ?,what,what city,WDT,NN,NN,LOC
What is the average salary of a paleontologist ?,what,what is,WP,VBZ,VBZ,NUM
Where is the largest post office building in the world ?,where,where is,WRB,VBZ,VBZ,LOC
Who is currently the most popular singer in the world ?,who,who is,WP,VBZ,VBZ,HUM
Who was the first animal into space ?,who,who was,WP,VBD,VBD,ENTY
What is the correct way to mount a roll of toilet paper ?,what,what is,WP,VBZ,VBZ,ENTY
What Jules Verne novel features scientists held captive in the submarine Nautilus ?,what,what jules,WP,NNP,VBZ,ENTY
Why is Rush 's 2112 called 2112 ?,why,why is,WRB,VBZ,VBN,DESC
What 's the state motto of California ?,what,what 's,WP,VBZ,VBZ,DESC
What function does homeostasis have on the existence of an organism ?,what,what function,WDT,NN,VB,DESC
"What company started out making pies , and wound up manufacturing plastic throwing toys ?",what,what company,WDT,NN,VBD,HUM
What does the acronym CPR mean ?,what,what does,WP,VBZ,VB,ABBR
The Jewish alphabet is called what ?,what,what ?,WP,.,VBN,ENTY
What are the Baltic States ?,what,what are,WP,VBP,VBP,DESC
How many endangered species are there in the world ?,how,how many,WRB,JJ,VBP,NUM
Which large U.S. city had the highest murder rate for 1988 ?,which,which large,WDT,JJ,VBD,LOC
"Who was the bandleader mentor of Ella Fitzgerald with whom she cowrote `` A_Tisket , A-Tasket '' ?",whom,who was whom she,WP,PRP,VBD,HUM
Who invented basketball ?,who,who invented,WP,VBD,VBD,HUM
How has TV affected our society ?,how,how has,WRB,VBZ,VBN,DESC
When was the last major eruption of Mount St. Helens ?,when,when was,WRB,VBD,VBD,NUM
What was the name of Humphrey Bogart 's club in Casablanca ?,what,what was,WP,VBD,VBD,HUM
What U.S. Government agency registers trademarks ?,what,what u.s.,WP,NNP,NNS,HUM
What is osmosis ?,what,what is,WP,VBZ,VBZ,DESC
What format was the major competition of VHS ?,what,what format,WDT,NN,VBD,ENTY
What hockey player did Ronald Reagan joke he would swap Texas for ?,what,what hockey,WDT,NN,VBD,HUM
What is the world 's deadliest infectious disease ?,what,what is,WP,VBZ,VBZ,ENTY
Which infectious disease is the world 's deadliest ?,which,which infectious,WDT,JJ,VBZ,ENTY
"What President was buried at his ancestral home overlooking the Hudson River at Hyde Park , New York ?",what,what president,WP,NNP,VBN,HUM
How much did the first Barbie doll sell for in 1959 ?,how,how much,WRB,JJ,VBP,NUM
What country was General Douglas McArthur in when he was recalled by President Truman ?,when,what country when he,WRB,PRP,VBD,LOC
What are the five most popular Usenet groups ?,what,what are,WP,VBP,VBP,HUM
What are the seven deadly sins ?,what,what are,WP,VBP,VBP,DESC
"What is the latitude and longitude of El Paso , Texas ?",what,what is,WP,VBZ,VBZ,NUM
What does the name Melissa mean ?,what,what does,WP,VBZ,VB,DESC
What is the nature of snow and how is the formation of snow different from that of ice ?,how,what is how is,WRB,VBZ,VBZ,DESC
How many head injuries are there in recreational ice skating each year ?,how,how many,WRB,JJ,VBP,NUM
A normal human pregnancy lasts how many months ?,how,how many,WRB,JJ,VBZ,NUM
What kind of sports team is the Buffalo Sabres ?,what,what kind,WDT,NN,VBZ,ENTY
What impenetrable system of French fortifications was built along the German frontier before World War II ?,what,what impenetrable,WDT,JJ,VBN,ENTY
What are new computer games for Windows 95 or 98 ?,what,what are,WP,VBP,VBP,ENTY
Who domesticated the wild turkey ?,who,who domesticated,WP,VBD,VBD,HUM
How can I get someone 's phone number if I only have their screen name ?,how,how can,WRB,MD,VB,DESC
What European race sees the winner of its mountain stage awarded a jersey with large red polka dots ?,what,what european,WP,JJ,VBZ,ENTY
What country does Ileana Cotrubas come from ?,what,what country,WDT,NN,VB,LOC
What 's the motto of the Boy Scouts ?,what,what 's,WP,VBZ,VBZ,DESC
What two European countries are joined by the Gran San Bernardo Pass ?,what,what two,WP,CD,VBN,LOC
What movie did Steven Spielberg direct in 1975 ?,what,what movie,WP,NN,JJ,ENTY
What kind of creatures are the Canary Islands named for ?,what,what kind,WDT,NN,VBP,ENTY
What was the name of the US helicopter pilot shot down over North Korea ?,what,what was,WP,VBD,VBD,HUM
What 's a male `` cuckquean '' ?,what,what 's,WP,VBZ,VBZ,DESC
"What are the factors leading to the high teen pregnancy rate in Spartanburg , South Carolina ?",what,what are,WP,VBP,VBP,DESC
"Name the designer of the shoe that spawned millions of plastic imitations , known as ` jellies ' .",that,that spawned,WDT,VBD,VB,HUM
What does RCA stand for ?,what,what does,WP,VBZ,VB,ABBR
Why are ice cream sundaes called sundaes ?,why,why are,WRB,VBP,VBP,DESC
What 's the singular of dice ?,what,what 's,WP,VBZ,VBZ,ENTY
Who is Olive Oyl 's brother ?,who,who is,WP,VBZ,VBZ,HUM
"What 12-hour cold medicine uses the formula `` 6 , 6 , 12 '' in its ads ?",what,what 12-hour,WP,CD,VBZ,ENTY
What was the first video ever made ?,what,what was,WP,VBD,VBD,ENTY
What 's the favorite food of dragonflies ?,what,what 's,WP,VBZ,VBZ,ENTY
What king boycotted Prince Charles 's wedding ?,what,what king,WDT,NN,VBD,HUM
What does Nicholas Cage do for a living ?,what,what does,WP,VBZ,VB,HUM
What was the nickname of model Leslie Hornby ?,what,what was,WP,VBD,VBD,HUM
Where is the Taj Mahal ?,where,where is,WRB,VBZ,VBZ,LOC
What 's distinctive about a palmiped 's feet ?,what,what 's,WP,VBZ,VBZ,DESC
In 139 the papal court was forced to move from Rome to where ?,where,where ?,WRB,.,VBN,LOC
What is the first day of the week ?,what,what is,WP,VBZ,VBZ,NUM
What is goulash ?,what,what is,WP,VBZ,VBZ,DESC
What capital is built around Monument Circle which contains soldiers and sailors monument ?,which,what capital which contains,WDT,VBZ,VBN,LOC
Name the men 's cologne that is associated with the sea .,that,that is,WDT,VBZ,VB,ENTY
How does a parachute work ?,how,how does,WRB,VBZ,NN,DESC
What is the first book of the Old Testament ?,what,what is,WP,VBZ,VBZ,ENTY
How many of them are in sub-Saharan Africa ?,how,how many,WRB,JJ,VBP,NUM
"What is the history of Spartacus , the Roman slave and gladiator ?",what,what is,WP,VBZ,VBZ,DESC
What famed wall supports the Badaling turret ?,what,what famed,WDT,JJ,VBZ,LOC
"Who portrayed Fatman in the television show , `` Jake and the Fatman '' ?",who,who portrayed,WP,VBD,VBD,HUM
What is object-oriented design ?,what,what is,WP,VBZ,VBZ,DESC
What does Melissa mean ?,what,what does,WP,VBZ,VB,DESC
What is form drag ?,what,what is,WP,VBZ,VBZ,DESC
Who were John F. Kennedy 's dogs ?,who,who were,WP,VBD,VBD,ENTY
Where are good science sites on the Internet ?,where,where are,WRB,VBP,VBP,LOC
What woman was Time 's Man of the Year for 1952 ?,what,what woman,WDT,NN,VBD,HUM
What currents affect the area of the Shetland Islands and Orkney Islands in the North Sea ?,what,what currents,WDT,NNS,VBP,DESC
Who wrote The Ugly Duckling ?,who,who wrote,WP,VBD,VBD,HUM
Who designed London Bridge ?,who,who designed,WP,VBD,VBD,HUM
"How many miles are there between Tel Aviv , Israel and Memphis , Tennessee ?",how,how many,WRB,JJ,VBP,NUM
How many flavors of ice cream does Howard Johnson 's have ?,how,how many,WRB,JJ,VBZ,NUM
What weapon did the crossed slits in English castles accommodate ?,what,what weapon,WDT,NN,VBP,ENTY
How can I stop or slow down aging ?,how,how can,WRB,MD,VB,DESC
Where are the busiest Amtrak rail stations in the U.S. ?,where,where are,WRB,VBP,VBP,LOC
How many freckles does Howdy Doody have on his face ?,how,how many,WRB,JJ,VB,NUM
"How does Cos Cob , CT get its name ?",how,how does,WRB,VBZ,VBP,DESC
Who was considered to be the father of psychology ?,who,who was,WP,VBD,VBN,HUM
How did Super President gain his powers on the animated series ?,how,how did,WRB,VBD,VB,DESC
How tall was the animated King Kong ?,how,how tall,WRB,JJ,VBD,NUM
What are values ?,what,what are,WP,VBP,VBP,DESC
What is the population of Japan ?,what,what is,WP,VBZ,VBZ,NUM
Name an American made motorcycle .,,,,,VB,ENTY
Where was the largest concentration camp in World War II ?,where,where was,WRB,VBD,VBD,LOC
How much did Alaska cost when bought from Russia ?,when,how much when bought,WRB,VBN,NN,NUM
How many events make up the decathlon ?,how,how many,WRB,JJ,VBP,NUM
What causes blue balls ?,what,what causes,WP,VBZ,VBZ,DESC
What were the first bodies visited by spacecraft ?,what,what were,WP,VBD,VBD,LOC
Who succeeded Nikita Khrushchev as first secretary of the Communist Party ?,who,who succeeded,WP,VBD,VBD,HUM
Who was chosen to be the first black chairman of the military Joint Chiefs of Staff ?,who,who was,WP,VBD,VBN,HUM
Name of the lady the Great Gatsby pines for ?,,,,,NNS,HUM
What does a chef coddle eggs in ?,what,what does,WP,VBZ,VBZ,ENTY
How many bails are there in a cricket wicket ?,how,how many,WRB,JJ,VBP,NUM
What city was Martin Luther King Jr. assassinated in ?,what,what city,WDT,NN,VBD,LOC
"What celebrity couple , when going through a divorce , divided their toilet paper into two equal piles ?",when,what celebrity when going,WRB,VBG,VBD,HUM
Where 's the Bernini-Bristol Hotel ?,where,where 's,WRB,VBZ,VBZ,LOC
Who said `` What contemptible scoundrel stole the cork from my lunch ? '',what,who said what contemptible,WP,JJ,VBD,HUM
What is the capital of Kosovo ?,what,what is,WP,VBZ,VBZ,LOC
What kind of company is 7-Eleven ?,what,what kind,WDT,NN,VBZ,HUM
How many letters appear with the numbers 2 to 9 on a telephone dial ?,how,how many,WRB,JJ,VBP,NUM
What were the first three cities to have a population of more than a million ?,what,what were,WP,VBD,VBD,LOC
How did the months of the year get there name ?,how,how did,WRB,VBD,VBP,DESC
What scale measures earthquakes ?,what,what scale,WDT,NN,NNS,ENTY
What is a glory hole ?,what,what is,WP,VBZ,VBZ,DESC
What kind of education would you need to become an athletic trainer for the NFL ?,what,what kind,WDT,NN,VB,ENTY
What are the major companies that are part of Dow Jones ?,that,what are that are,WDT,VBP,VBP,HUM
What college did Joe Namath play football for ?,what,what college,WDT,NN,VB,HUM
What was the minimum wage in 1991 ?,what,what was,WP,VBD,VBD,NUM
What country is the biggest producer of tungsten ?,what,what country,WP,NN,VBZ,LOC
How does it make its colors ?,how,how does,WRB,VBZ,VB,DESC
What would happen to Canada if Quebec separated ?,what,what would,WP,MD,VB,DESC
When is the Jimmy Buffett concert coming to the E center in Camden NJ ?,when,when is,WRB,VBZ,VBZ,NUM
What is ` Last Chance for Animals ' ?,what,what is,WP,VBZ,VBZ,DESC
What European country abandoned postage stamps in 1923 because printing them cost more than their face value ?,what,what european,WDT,JJ,VBD,LOC
What is the weather like on the moon ?,what,what is,WP,VBZ,VBZ,DESC
Who was the 1st U.S. President ?,who,who was,WP,VBD,VBD,HUM
"What is the main language of Sao Paulo , Brazil ?",what,what is,WP,VBZ,VBZ,ENTY
How much did Varian Associates try to sell its vacuum products division to the BOC group for ?,how,how much,WRB,JJ,VBP,NUM
What is the abbreviation of the International Olympic Committee ?,what,what is,WP,VBZ,VBZ,ABBR
How many people hike ?,how,how many,WRB,JJ,VBP,NUM
What are boxcars ?,what,what are,WP,VBP,VBP,DESC
How do I keep cats out of my flower garden for good ?,how,how do,WRB,VBP,VB,DESC
Who played Maria in the film West Side Story ?,who,who played,WP,VBD,VBD,HUM
What is a common anti-AIDS drug ?,what,what is,WP,VBZ,VBZ,ENTY
Who bestowed great power upon Captain Britain ?,who,who bestowed,WP,VBD,VBD,HUM
How can you tell when figs are ripe ?,when,how can when figs,WRB,NNS,VB,DESC
