WH,WH-Bigram,WH-POS,WH-NBOR-POS,Root-POS,Class
who,who invented,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,DESC
what,what did,WP,VBD,VB,DESC
what,what kind,WDT,NN,VBD,ENTY
which,which of,WDT,IN,VBD,HUM
who,who comprised,WP,VBD,VBD,HUM
how,how do,WRB,VBP,VB,DESC
what,what u.s.,WP,NNP,VBZ,LOC
what,what is,WP,VBZ,VBZ,ENTY
where,where is,WRB,VBZ,VBZ,LOC
where,where do,WRB,VBP,VB,DESC
where,where does,WRB,VBZ,VB,LOC
what,what are,WP,VBP,VBP,LOC
that,what \'s that bears,WDT,VBZ,VBZ,ENTY
what,what is,WP,VBZ,VBZ,ENTY
what,what medium,WDT,NN,VBZ,ENTY
where,where on,WRB,IN,VB,LOC
how,how much,WRB,JJ,VB,NUM
what,what \'s,WP,VBZ,VBZ,ENTY
what,what does,WP,VBZ,VB,DESC
where,where can,WRB,MD,VB,LOC
which,which two,WDT,CD,VBP,ENTY
how,how is,WRB,VBZ,VBZ,DESC
how,how long,WRB,RB,VB,NUM
how,how do,WRB,VBP,VB,DESC
what,what is,WP,VBZ,VBZ,DESC
how,how was,WRB,VBD,VBD,DESC
what,what crooner,WDT,NN,VBD,HUM
what,what piano,WDT,NN,VBZ,HUM
when,when did,WRB,VBD,VB,NUM
what,what novel,WDT,NN,VBD,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBZ,ENTY
what,what hollywood,WP,NNP,VBD,ENTY
what,what are,WP,VBP,VBP,ENTY
how,how much,WRB,JJ,VB,NUM
what,what actress,WDT,NN,VBN,HUM
what,what are,WP,VBP,VBP,DESC
what,what is,WP,VBZ,VBZ,DESC
how,how many,WRB,JJ,VB,NUM
where,where is,WRB,VBZ,VBZ,LOC
what,what was,WP,VBD,VBD,ENTY
what,what city,WDT,NN,VBZ,LOC
what,what broadway,WP,NNP,VBN,ENTY
what,what is,WP,VBZ,VBZ,DESC
how,how many,WRB,JJ,VBN,NUM
how,how you,WRB,PRP,VB,DESC
when,what does when used,WRB,VBN,VB,ABBR
who,who produces,WP,VBZ,VBZ,HUM
who,who earns,WP,VBZ,VBZ,HUM
who,who founded,WP,VBD,VBD,HUM
what,what athlete,WDT,NN,VBZ,HUM
how,how many,WRB,JJ,VBP,NUM
who,who discovered,WP,VBD,VBD,HUM
what,what part,WDT,NN,VBZ,ENTY
who,who was,WP,VBD,VBD,HUM
what,what two,WP,CD,VB,LOC
what,what album,WP,NN,VBD,ENTY
what,what poem,WDT,NN,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what war,WDT,NN,VBP,ENTY
what,what is,WP,VBZ,VBZ,NUM
what,what \'s,WP,VBZ,VBZ,ENTY
what,what are,WP,VBP,VBP,DESC
where,where is,WRB,VBZ,VBD,LOC
which,which japanese,WDT,JJ,VBD,HUM
who,who is,WP,VBZ,VBZ,HUM
what,what sun,WDT,NN,VBZ,LOC
what,what year,WDT,NN,VB,NUM
how,how many,WRB,JJ,VB,NUM
where,where are,WRB,VBP,VBP,LOC
what,what year,WDT,NN,VBD,NUM
who,who sings,WP,VBZ,VBZ,HUM
who,who directed,WP,VBD,VBD,HUM
what,what t.v.,WP,NNP,VBN,ENTY
what,what indian,WDT,JJ,VBZ,HUM
where,where did,WRB,VBD,VB,DESC
why,why do,WRB,VBP,VBP,DESC
how,how many,WRB,JJ,VBN,NUM
that,what is that maurizio,WDT,NNP,VBZ,LOC
how,where can how to,WRB,TO,VB,LOC
what,what game,WDT,NN,VBZ,ENTY
what,what is,WP,VBZ,VBZ,HUM
what,what is,WP,VBZ,VBZ,HUM
why,why do,WRB,VBP,VB,DESC
what,what is,WP,VBZ,NN,DESC
what,what causes,WP,VBZ,VBZ,DESC
what,what are,WP,VBP,VBP,NUM
what,what does,WP,VBZ,VB,DESC
what,what country,WP,NN,VBZ,LOC
what,what therapy,WDT,NN,VBZ,ENTY
where,where is,WRB,VBZ,VBZ,LOC
which,which ventura,WDT,NNP,VBD,HUM
what,what city,WDT,NN,VBN,LOC
what,what dangles,WP,VBZ,VBZ,ENTY
who,who created,WP,VBD,VBD,HUM
what,what dummy,WDT,NN,VBD,HUM
when,when was,WRB,VBD,VBD,NUM
what,what countries,WDT,NNS,VBP,LOC
how,how do,WRB,VBP,VB,DESC
,,,,NNS,HUM
what,what is,WP,VBZ,VBZ,DESC
how,how did,WRB,VBD,VB,DESC
when,when did,WRB,VBD,VBP,NUM
what,what actor,WDT,NN,VBD,HUM
what,what explorer,WDT,NN,VBN,HUM
what,what year,WDT,NN,VBD,NUM
that,what is that hits,WDT,VBZ,VBZ,ENTY
what,what makes,WP,VBZ,VBZ,DESC
which,which company,WDT,NN,VBD,HUM
what,what are,WP,VBP,VBP,ENTY
what,what was,WP,VBD,VBD,ENTY
what,what south,WP,JJ,VBZ,LOC
which,how can which cities,WDT,NNS,VB,DESC
what,what is,WP,VBZ,VBZ,DESC
how,how many,WRB,JJ,VBP,NUM
what,what is,WP,VBZ,VBZ,DESC
how,how many,WRB,JJ,VBP,NUM
what,what shrubs,WDT,NNS,VBN,ENTY
what,what organization,WDT,NN,VBN,HUM
what,what is,WP,VBZ,VBZ,DESC
what,what does,WP,VBZ,VB,ABBR
,,,,VB,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBZ,DESC
what,what four,WP,CD,VB,ENTY
what,what is,WP,VBZ,VBZ,NUM
how,how do,WRB,VBP,VB,DESC
when,when did,WRB,VBD,VB,NUM
how,how much,WRB,JJ,NN,NUM
what,what two,WP,CD,VBD,LOC
what,what is,WP,VBZ,JJ,DESC
what,what russian,WDT,JJ,VBD,HUM
what,what caused,WP,VBD,VBD,DESC
who,who was who would,WP,MD,VBD,HUM
how,how many,WRB,JJ,VB,NUM
what,what is,WP,VBZ,VBZ,LOC
where,where can,WRB,MD,VB,LOC
what,what \'s,WP,VBZ,VBZ,ENTY
what,what was,WP,VBD,VBD,HUM
what,what disease,WDT,NN,VBN,ENTY
what,what rum,WDT,NN,VBZ,ENTY
how,how many,WRB,JJ,VBP,NUM
what,what is,WP,VBZ,VBZ,DESC
where,where was,WRB,VBD,VBN,LOC
how,how many,WRB,JJ,VBN,NUM
who,who wrote,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,DESC
what,what are,WP,VBP,VBP,DESC
which,which mosquito,WDT,NN,VBZ,ENTY
when,when was,WRB,VBD,VBN,NUM
what,what diminutive,WDT,JJ,VBD,HUM
what,what is,WP,VBZ,VBZ,DESC
what,what schools,WDT,NNS,NNS,HUM
when,when did,WRB,VBD,VB,NUM
who,who is,WP,VBZ,VBZ,HUM
what,what instrument,WDT,NN,VBZ,ENTY
what,what \'s,WP,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBZ,ENTY
what,what las,WP,NNP,VBN,LOC
when,when did,WRB,VBD,VBP,NUM
what,what ?,WP,.,VBZ,ABBR
when,when did,WRB,VBD,VBP,NUM
how,how many,WRB,JJ,VBP,NUM
what,what is,WP,VBZ,VBZ,DESC
what,what european,WDT,JJ,VB,LOC
what,how can what year,WDT,NN,VB,DESC
what,what is,WP,VBZ,VBZ,DESC
what,what does,WP,VBZ,VBP,ENTY
who,who was,WP,VBD,VBD,HUM
what,what are,WP,VBP,VBP,ENTY
what,what did,WP,VBD,VB,ENTY
what,what color,WDT,NN,VBP,ENTY
who,who was,WP,VBD,VBD,HUM
who,who was,WP,VBD,VBD,HUM
who,who are,WP,VBP,VBP,HUM
what,what is,WP,VBZ,VBZ,DESC
when,when is,WRB,VBZ,VBZ,NUM
what,what is,WP,VBZ,VBZ,ENTY
when,when was,WRB,VBD,VBD,NUM
how,how many,WRB,JJ,VB,NUM
what,what \'s,WP,VBZ,VBZ,ENTY
when,when did,WRB,VBD,NNP,NUM
what,what is,WP,VBZ,VBZ,NUM
what,what animal,WDT,NN,VBZ,ENTY
what,what is,WP,VBZ,VBZ,LOC
who,who was,WP,VBD,VBD,HUM
who,who was,WP,VBD,VBD,HUM
what,what european,WDT,JJ,VBZ,LOC
how,how do,WRB,VBP,VB,DESC
what,what is,WP,VBZ,VBZ,DESC
where,where was,WRB,VBD,VBN,LOC
what,what do,WP,VBP,VB,ENTY
how,how do,WRB,VBP,VB,DESC
what,what does,WP,VBZ,NN,ABBR
what,what sea,WDT,NN,VBP,LOC
what,what \'s,WP,VBZ,VBZ,ENTY
which,which came,WDT,VBD,VBD,ENTY
what,what city,WDT,NN,VBP,LOC
what,what is,WP,VBZ,VBZ,ENTY
what,what chemicals,WDT,NNS,VBN,ENTY
what,what toy,WDT,NN,VBZ,HUM
what,what board,WDT,NN,VB,ENTY
which,which doonesbury,WDT,NNP,VBD,HUM
what,what is,WP,VBZ,VBZ,ABBR
what,what are,WP,VBP,VBP,ENTY
who,who has,WP,VBZ,VBN,HUM
what,what does,WP,VBZ,VB,ABBR
what,what is,WP,VBZ,VBZ,ABBR
that,what is that can,WDT,MD,VBZ,ENTY
what,what stadium,WDT,NN,VBP,LOC
who,who has,WP,VBZ,VBZ,HUM
why,why is,WRB,VBZ,NN,DESC
what,what was,WP,VBD,VBD,NUM
what,what day,WDT,NN,VBD,NUM
what,what girl,WDT,NN,VBZ,HUM
what,what state,WDT,NN,VBZ,LOC
what,what is,WP,VBZ,VBZ,ENTY
what,what u.s.,WP,NNP,VBZ,LOC
what,what company,WDT,NN,VBZ,HUM
how,how did,WRB,VBD,VB,DESC
how,how many,WRB,JJ,NN,NUM
what,what is,WP,VBZ,VBZ,LOC
what,what are,WP,VBP,VBP,ENTY
how,how is,WRB,VBZ,VBN,DESC
what,what is,WP,VBZ,VBZ,NUM
who,who made,WP,VBD,VBD,HUM
where,where can,WRB,MD,VB,LOC
which,which bloom,WDT,NNP,VBZ,HUM
how,how do,WRB,VBP,VB,DESC
how,how does,WRB,VBZ,NN,DESC
what,what is,WP,VBZ,VBZ,NUM
what,what is,WP,VBZ,VBZ,NUM
how,how many,WRB,JJ,VBP,NUM
what,what ?,WP,.,VBZ,DESC
what,what creature,WDT,NN,VBZ,ENTY
what,what part,WDT,NN,VBP,HUM
who,who followed,WP,VBD,VBD,HUM
what,what are,WP,VBP,VBP,ENTY
who,who was,WP,VBD,VBD,HUM
what,what \'s,WP,VBZ,VBZ,ENTY
what,what is,WP,VBZ,VBZ,LOC
where,where can,WRB,MD,VB,LOC
who,who does,WP,VBZ,VBZ,HUM
who,who is,WP,VBZ,VBZ,HUM
what,what product,WDT,NN,VBP,ENTY
who,who invented,WP,VBD,VBD,HUM
what,what \'s,WP,VBZ,VBZ,NUM
what,what are,WP,VBP,VBP,ENTY
how,how do,WRB,VBP,VB,DESC
who,who is who pulls,WP,VBZ,VBZ,HUM
what,what is,WP,VBZ,VBZ,NUM
what,what are,WP,VBP,VBP,ENTY
what,what actor,WDT,NN,VBD,HUM
what,what ocean,WDT,NN,VBZ,LOC
who,who was,WP,VBD,VBD,HUM
what,what year,WDT,NN,VB,NUM
how,how many,WRB,JJ,VB,NUM
when,what causes when you,WRB,PRP,VBZ,DESC
who,who won,WP,VBD,VBD,HUM
who,who are,WP,VBP,VBP,HUM
,,,,VB,DESC
which,which city,WDT,NN,VB,LOC
what,what does,WP,VBZ,VB,DESC
what,what gaming,WDT,NN,VBN,ENTY
who,who was,WP,VBD,VBD,HUM
how,how successful,WRB,JJ,VBZ,DESC
what,what jewish,WDT,JJ,VBD,ENTY
how,how does,WRB,VBZ,NN,DESC
what,what is,WP,VBZ,VBZ,NUM
who,who said,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,ENTY
who,who declared,WP,VBD,VBD,HUM
where,where does,WRB,VBZ,VB,LOC
what,what tv,WDT,NN,VBD,ENTY
what,what soviet,WP,JJ,VBD,HUM
where,where can,WRB,MD,VB,LOC
what,what war,WDT,NN,VBP,ENTY
who,who wrote,WP,VBD,VBD,HUM
how,how many,WRB,JJ,VBD,NUM
who,who is,WP,VBZ,VBZ,HUM
what,what is,WP,VBZ,VBZ,ABBR
what,what mountains,WP,NNS,VBP,LOC
who,who received,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,DESC
what,what \'s,WP,VBZ,VBZ,LOC
how,how many,WRB,JJ,VBP,NUM
what,what is,WP,VBZ,VBZ,ENTY
what,what cbs,WP,NNP,VBN,ENTY
what,what is,WP,VBZ,VBZ,DESC
who,what was who represented,WP,VBD,VBD,HUM
what,what united,WP,NNP,VBN,HUM
what,what film,WDT,NN,VB,ENTY
where,where is,WRB,VBZ,VBN,LOC
what,what product,WDT,NN,VB,ENTY
what,what time,WDT,NN,VB,NUM
what,what is,WP,VBZ,VBZ,DESC
what,what \'s,WP,VBZ,VBZ,ENTY
what,what does,WP,VBZ,VB,DESC
how,how many,WRB,JJ,VB,NUM
what,what crop,WDT,NN,VBD,ENTY
what,what south,WDT,JJ,VBN,LOC
how,how many,WRB,JJ,VBP,NUM
what,what is,WP,VBZ,VBZ,ENTY
what,what predators,WDT,NNS,VBP,ENTY
what,what is,WP,VBZ,VBZ,DESC
how,how is,WRB,VBZ,VBN,DESC
what,what beer,WDT,NN,VBD,ENTY
what,what is,WP,VBZ,VBZ,NUM
what,what golfing,WDT,NN,VBN,ENTY
what,what are,WP,VBP,VBP,ENTY
how,how is,WRB,VBZ,VBZ,DESC
what,what was,WP,VBD,VBD,LOC
where,where was,WRB,VBD,VBD,LOC
what,what country,WP,NN,VBP,LOC
when,when was,WRB,VBD,VBN,NUM
what,what polynesian,WP,JJ,VBP,HUM
what,what movie,WP,NN,VBZ,ENTY
what,what nevada,WP,NNP,VBN,LOC
what,what president,WP,NNP,VBD,HUM
,,,,VB,DESC
where,where must,WRB,MD,NN,LOC
what,what is,WP,VBZ,VBZ,DESC
what,what u.s.,WP,NNP,IN,LOC
what,what are,WP,VBP,VBP,DESC
what,what year,WDT,NN,VB,NUM
what,what famous,WDT,JJ,VBD,HUM
what,what kind,WDT,NN,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what killed,WP,VBD,VBD,ENTY
how,how much,WRB,JJ,VBP,NUM
who,who danced,WP,VBD,VBD,HUM
who,who is,WP,VBZ,VBZ,HUM
what,what does,WP,VBZ,VB,DESC
who,who is,WP,VBZ,VBZ,HUM
what,what is,WP,VBZ,VBZ,LOC
where,where is,WRB,VBZ,VBN,LOC
what,what desert,WDT,NN,VBN,LOC
what,what do,WP,VBP,VBP,ENTY
what,what function,WDT,NN,VB,DESC
what,what is,WP,VBZ,VBZ,ENTY
how,how many,WRB,JJ,VBZ,NUM
how,how much,WRB,JJ,VBZ,NUM
what,what does,WP,VBZ,VB,ABBR
what,what does,WP,VBZ,VB,DESC
what,what song,WDT,NN,VBD,ENTY
what,what field,WDT,NN,NN,ENTY
how,how do,WRB,VBP,VB,DESC
when,when does,WRB,VBZ,VBP,NUM
why,why doesn,WRB,VBP,NN,DESC
what,what actor,WDT,NN,VBN,HUM
what,what russian,WDT,JJ,VBD,HUM
where,where \'s,WRB,VBZ,VBZ,LOC
what,what \'s,WP,VBZ,VBZ,DESC
who,who played,WP,VBD,VBD,HUM
where,where can,WRB,MD,VB,LOC
what,what english,WDT,JJ,VBZ,ENTY
what,what musical,WDT,JJ,VB,ENTY
where,where did,WRB,VBD,VB,LOC
what,what makes,WP,VBZ,VBZ,DESC
who,who wrote,WP,VBD,VBD,HUM
where,where does,WRB,VBZ,VB,ENTY
what,what country,WP,NN,NN,LOC
who,who painted,WP,VBD,VBD,HUM
what,what is,WP,VBZ,VBZ,NUM
what,what area,WDT,NN,VBD,LOC
what,what is,WP,VBZ,VBZ,LOC
what,what film,WDT,NN,VBD,ENTY
what,what was,WP,VBD,VBD,HUM
what,what film,WDT,NN,VBD,ENTY
where,where do,WRB,VBP,VB,LOC
who,who is,WP,VBZ,VBZ,HUM
what,what \'s,WP,VBZ,VBZ,ENTY
who,who has,WP,VBZ,VBZ,HUM
what,what are,WP,VBP,VBP,DESC
what,what children,WDT,NNS,VBZ,ENTY
what,what level,WDT,NN,VBZ,HUM
how,how many,WRB,JJ,VBP,NUM
what,what cocktail,WDT,NN,VB,ENTY
how,how do,WRB,VBP,VB,ENTY
what,what do,WP,VBP,VBP,DESC
what,what caused,WP,VBD,VBD,DESC
when,when is,WRB,VBZ,VBZ,NUM
who,who came,WP,VBD,VBD,HUM
what,what movie,WP,NN,VBD,ENTY
what,what type,WDT,NN,VBZ,ENTY
what,what dictator,WDT,NN,VBZ,HUM
what,what stereo,WDT,NN,VBZ,HUM
what,what u.s.,WP,NNP,VBZ,LOC
what,what tv,WP,NN,VBD,HUM
what,what was,WP,VBD,VBD,ENTY
who,who kept,WP,VBD,VBD,HUM
where,where can,WRB,MD,VB,LOC
how,how many,WRB,JJ,VBZ,NUM
what,what spanish,WDT,JJ,VBD,HUM
what,what is,WP,VBZ,VBZ,ENTY
why,why is,WRB,VBZ,VBZ,DESC
what,what is,WP,VBZ,VBZ,DESC
what,what spy,WDT,NN,VBD,HUM
that,which oil that meant,WDT,VBD,VBD,HUM
how,how long,WRB,RB,VB,NUM
who,who was,WP,VBD,VBD,HUM
what,what was,WP,VBD,VBN,LOC
who,who was,WP,VBD,VBD,HUM
who,who was,WP,VBD,VB,HUM
what,what deck,WDT,NN,VBZ,ENTY
what,what does,WP,VBZ,VBP,ENTY
who,who is,WP,VBZ,VBZ,HUM
what,what city,WP,NN,VBN,LOC
what,what household,WDT,NN,VBZ,ENTY
what,what was,WP,VBD,VBD,ENTY
what,what fraction,WDT,NN,VBN,NUM
what,what was,WP,VBD,VBD,ENTY
what,what do,WP,VBP,VB,DESC
what,what country,WDT,NN,VBZ,LOC
what,what do,WP,VBP,VB,DESC
what,what country,WDT,NN,VBZ,LOC
how,how many,WRB,JJ,VBZ,NUM
what,what does,WP,VBZ,VB,ABBR
what,what is,WP,VBZ,VBZ,ENTY
how,how much,WRB,JJ,VB,NUM
what,what makes,WP,VBZ,VBZ,DESC
what,what country,WDT,NN,VBZ,LOC
what,what ``,WP,``,NN,ENTY
who,who is,WP,VBZ,VBZ,HUM
,,,,VBD,HUM
what,what was,WP,VBD,VBN,ENTY
what,what city,WDT,NN,VBZ,LOC
what,what is,WP,VBZ,VBZ,DESC
how,how many,WRB,JJ,VBP,NUM
when,when did,WRB,VBD,VB,NUM
what,what is,WP,VBZ,VBZ,LOC
what,what is,WP,VBZ,VBZ,NUM
who,who invented,WP,VBD,VBD,HUM
how,how many,WRB,JJ,VBP,NUM
what,what product,WDT,NN,VBZ,ENTY
how,how long,WRB,JJ,VBZ,NUM
what,what city,WDT,NN,VBD,LOC
what,what does,WP,VBZ,VB,DESC
how,how do,WRB,VBP,VB,DESC
,,,,VB,ENTY
who,who was,WP,VBD,VBN,HUM
what,what are,WP,VBP,VBP,DESC
what,what is,WP,VBZ,VBZ,ENTY
what,what animal,WDT,NN,VBN,ENTY
how,how many,WRB,JJ,VBP,NUM
what,what russian,WDT,JJ,VBZ,LOC
where,where can,WRB,MD,VBN,LOC
when,when was,WRB,VBD,VBD,NUM
what,what kind,WDT,NN,VBZ,ENTY
when,when did,WRB,VBD,VB,NUM
what,what then,WP,RB,VBN,ENTY
what,what is,WP,VBZ,VBZ,DESC
where,where do,WRB,VBP,VB,DESC
how,how do,WRB,VBP,VB,DESC
where,where do,WRB,VBP,NN,LOC
what,what is,WP,VBZ,VBZ,HUM
what,what is,WP,VBZ,VBZ,DESC
that,what was that alyssa,WDT,NNP,VBD,ENTY
what,what are,WP,VBP,VBP,LOC
where,where on,WRB,IN,VB,LOC
what,what u.s.,WP,NNP,NNS,LOC
which,which jude,WDT,NNP,VB,ENTY
what,what is,WP,VBZ,VBZ,NUM
what,what is,WP,VBZ,VBZ,ENTY
what,what vladimir,WP,NNP,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
where,where did,WRB,VBD,RB,LOC
what,what does,WP,VBZ,NN,ENTY
what,what city,WDT,NN,VBN,LOC
what,what wrestling,WP,VBG,VBD,HUM
what,what attracts,WP,VBZ,VBZ,LOC
what,what game,WDT,NN,VBP,ENTY
what,what fastener,WDT,NN,VBD,ENTY
what,what \'s,WP,VBZ,VBZ,DESC
who,who was,WP,VBD,VBD,HUM
where,where is,WRB,VBZ,VBZ,LOC
what,what army,WDT,NN,VBN,HUM
what,what does,WP,VBZ,VB,ENTY
that,that is,WDT,VBZ,VB,ENTY
what,what is,WP,VBZ,VBZ,LOC
what,what was,WP,VBD,VBD,HUM
why,why are,WRB,VBP,VBP,DESC
who,who invented,WP,VBD,VBD,HUM
what,what was,WP,VBD,VBD,ENTY
where,where is,WRB,VBZ,VBD,LOC
what,what is,WP,VBZ,VBZ,ENTY
how,how many,WRB,JJ,VBP,NUM
what,what do,WP,VBP,VB,ENTY
what,when reading what does,WP,VBZ,NN,ABBR
how,how many,WRB,JJ,VB,NUM
what,what plant,WDT,NN,VBZ,ENTY
what,what was,WP,VBD,VBD,LOC
when,what \'s when a,WRB,DT,VBG,ENTY
what,what baseball,WDT,NN,VBD,HUM
what,what kind,WDT,NN,VBN,ENTY
what,what video,WDT,NN,VBP,HUM
how,how many,WRB,JJ,VBP,NUM
what,what is,WP,VBZ,VBZ,ENTY
what,what city,WP,NN,VBP,LOC
what,what tv,WP,NN,VBP,HUM
what,what is,WP,VBZ,VBZ,ENTY
that,that runs,WDT,VBZ,VB,ENTY
what,what does,WP,VBZ,VB,DESC
what,what percentage,WDT,NN,VBZ,NUM
what,what color,WDT,NN,VBN,ENTY
what,what is,WP,VBZ,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what does,WP,VBZ,VBN,NUM
what,what was,WP,VBD,VBD,HUM
who,who played,WP,VBD,VBD,HUM
where,who died where john,WRB,NNP,VBD,HUM
what,what is,WP,VBZ,VBZ,DESC
what,what sign,WDT,NN,VBZ,ENTY
what,what animals,WDT,NNS,VB,ENTY
what,what is,WP,VBZ,VBZ,DESC
when,when is,WRB,VBZ,VBZ,NUM
what,what did,WP,VBD,VB,ENTY
what,what first,WDT,JJ,VBD,HUM
how,how can,WRB,MD,VB,DESC
who,who is,WP,VBZ,VBZ,HUM
how,how did,WRB,VBD,JJ,DESC
what,what is,WP,VBZ,VBZ,DESC
where,where can,WRB,MD,VB,LOC
what,what is,WP,VBZ,VBZ,LOC
what,what is,WP,VBZ,VBZ,ENTY
why,why did,WRB,VBD,VBP,DESC
what,what russian,WDT,JJ,VBZ,LOC
when,when is,WRB,VBZ,VBZ,NUM
what,what makes,WP,VBZ,NN,DESC
how,how many,WRB,JJ,NN,NUM
what,what two,WP,CD,VBP,ENTY
whoever,why do where you whoever finds,WP,VBZ,VB,DESC
who,who is,WP,VBZ,VBZ,HUM
that,what was that starred,WDT,VBD,VBD,ENTY
what,what is,WP,VBZ,VBZ,DESC
what,what do,WP,VBP,VB,ENTY
who,who was,WP,VBD,VBD,HUM
what,what can,WP,MD,VB,ENTY
what,what day,WDT,NN,VBZ,NUM
what,what is,WP,VBZ,VBZ,DESC
what,what sport,WDT,NN,VBZ,ENTY
what,what is,WP,VBZ,VBZ,DESC
where,where is,WRB,VBZ,VBZ,LOC
that,that is,WDT,VBZ,VB,HUM
who,who graced,WP,VBD,VBD,HUM
what,what kind,WDT,NN,VBZ,ENTY
who,who portrayed,WP,VBD,VBD,HUM
how,how do,WRB,VBP,VB,ENTY
what,what does,WP,VBZ,VB,DESC
what,what is,WP,VBZ,VBZ,ENTY
how,how fast,WRB,RB,VBZ,NUM
